RowID,Player,Measure,Year,Values
0,Kobe Bryant,Salary,2005,15946875
1,Joe Johnson,Salary,2005,12000000
2,LeBron James,Salary,2005,4621800
3,Carmelo Anthony,Salary,2005,3713640
4,Dwight Howard,Salary,2005,4493160
5,Chris Bosh,Salary,2005,3348000
6,Chris Paul,Salary,2005,3144240
7,Kevin Durant,Salary,2005,0
8,Derrick Rose,Salary,2005,0
9,Dwayne Wade,Salary,2005,3031920
10,Kobe Bryant,Games Played,2005,80
11,Joe Johnson,Games Played,2005,82
12,LeBron James,Games Played,2005,79
13,Carmelo Anthony,Games Played,2005,80
14,Dwight Howard,Games Played,2005,82
15,Chris Bosh,Games Played,2005,70
16,Chris Paul,Games Played,2005,78
17,Kevin Durant,Games Played,2005,35
18,Derrick Rose,Games Played,2005,40
19,Dwayne Wade,Games Played,2005,75
20,Kobe Bryant,Minutes Played,2005,3277
21,Joe Johnson,Minutes Played,2005,3340
22,LeBron James,Minutes Played,2005,3361
23,Carmelo Anthony,Minutes Played,2005,2941
24,Dwight Howard,Minutes Played,2005,3021
25,Chris Bosh,Minutes Played,2005,2751
26,Chris Paul,Minutes Played,2005,2808
27,Kevin Durant,Minutes Played,2005,1255
28,Derrick Rose,Minutes Played,2005,1168
29,Dwayne Wade,Minutes Played,2005,2892
30,Kobe Bryant,Field Goals,2005,978
31,Joe Johnson,Field Goals,2005,632
32,LeBron James,Field Goals,2005,875
33,Carmelo Anthony,Field Goals,2005,756
34,Dwight Howard,Field Goals,2005,468
35,Chris Bosh,Field Goals,2005,549
36,Chris Paul,Field Goals,2005,407
37,Kevin Durant,Field Goals,2005,306
38,Derrick Rose,Field Goals,2005,208
39,Dwayne Wade,Field Goals,2005,699
40,Kobe Bryant,Field Goal Attempts,2005,2173
41,Joe Johnson,Field Goal Attempts,2005,1395
42,LeBron James,Field Goal Attempts,2005,1823
43,Carmelo Anthony,Field Goal Attempts,2005,1572
44,Dwight Howard,Field Goal Attempts,2005,881
45,Chris Bosh,Field Goal Attempts,2005,1087
46,Chris Paul,Field Goal Attempts,2005,947
47,Kevin Durant,Field Goal Attempts,2005,647
48,Derrick Rose,Field Goal Attempts,2005,436
49,Dwayne Wade,Field Goal Attempts,2005,1413
50,Kobe Bryant,Points,2005,2832
51,Joe Johnson,Points,2005,1653
52,LeBron James,Points,2005,2478
53,Carmelo Anthony,Points,2005,2122
54,Dwight Howard,Points,2005,1292
55,Chris Bosh,Points,2005,1572
56,Chris Paul,Points,2005,1258
57,Kevin Durant,Points,2005,903
58,Derrick Rose,Points,2005,597
59,Dwayne Wade,Points,2005,2040
60,Kobe Bryant,Salary,2006,17718750
61,Joe Johnson,Salary,2006,12744189
62,LeBron James,Salary,2006,5828090
63,Carmelo Anthony,Salary,2006,4694041
64,Dwight Howard,Salary,2006,4806720
65,Chris Bosh,Salary,2006,4235220
66,Chris Paul,Salary,2006,3380160
67,Kevin Durant,Salary,2006,0
68,Derrick Rose,Salary,2006,0
69,Dwayne Wade,Salary,2006,3841443
70,Kobe Bryant,Games Played,2006,77
71,Joe Johnson,Games Played,2006,57
72,LeBron James,Games Played,2006,78
73,Carmelo Anthony,Games Played,2006,65
74,Dwight Howard,Games Played,2006,82
75,Chris Bosh,Games Played,2006,69
76,Chris Paul,Games Played,2006,64
77,Kevin Durant,Games Played,2006,35
78,Derrick Rose,Games Played,2006,40
79,Dwayne Wade,Games Played,2006,51
